param,model,llm,role,relationship,map,mean,hdi_low,hdi_high
phi,pRRSAc(A),LLaMA3,speaker,gefürchtete Chefin,0.976,0.972,0.946,0.993
phi,pRRSAc(C),LLaMA3,speaker,gefürchtete Chefin,0.897,0.721,0.38,0.979
alpha,pRRSAf(B),Qwen3,listener,enge Freundin,3.239,2.738,0.585,5.0
alpha,pRRSAf(D),Qwen3,listener,enge Freundin,3.706,2.86,0.803,4.999
alpha,pRRSAf(B),Qwen3,speaker,enge Freundin,4.497,3.72,1.946,5.0
alpha,pRRSAf(D),Qwen3,speaker,enge Freundin,1.859,2.537,0.318,5.0
alpha,pRRSAf(B),LLaMA3,listener,enge Freundin,4.129,2.97,1.003,4.995
alpha,pRRSAf(D),LLaMA3,listener,enge Freundin,0.443,2.148,0.002,4.638
alpha,pRRSAf(B),LLaMA3,speaker,enge Freundin,3.087,2.918,1.239,4.501
alpha,pRRSAf(D),LLaMA3,speaker,enge Freundin,3.378,3.156,1.315,5.0
alpha,pRRSAf(B),Qwen3,listener,entfernte Kollegin,1.694,2.612,0.276,4.999
alpha,pRRSAf(D),Qwen3,listener,entfernte Kollegin,4.265,2.856,0.788,4.998
alpha,pRRSAf(B),Qwen3,speaker,entfernte Kollegin,4.373,3.684,1.906,4.999
alpha,pRRSAf(D),Qwen3,speaker,entfernte Kollegin,3.329,2.648,0.39,4.996
alpha,pRRSAf(B),LLaMA3,listener,entfernte Kollegin,4.552,3.017,1.051,4.999
alpha,pRRSAf(D),LLaMA3,listener,entfernte Kollegin,0.49,2.268,0.0,4.675
alpha,pRRSAf(B),LLaMA3,speaker,entfernte Kollegin,4.717,3.783,1.912,5.0
alpha,pRRSAf(D),LLaMA3,speaker,entfernte Kollegin,4.607,3.488,1.612,5.0
alpha,pRRSAf(B),Qwen3,listener,lockere Chefin,3.591,2.644,0.287,4.996
alpha,pRRSAf(D),Qwen3,listener,lockere Chefin,4.403,2.881,0.803,4.999
alpha,pRRSAf(B),Qwen3,speaker,lockere Chefin,2.943,2.6,1.167,3.719
alpha,pRRSAf(D),Qwen3,speaker,lockere Chefin,0.475,2.108,0.003,4.569
alpha,pRRSAf(B),LLaMA3,listener,lockere Chefin,2.95,2.979,0.992,4.988
alpha,pRRSAf(D),LLaMA3,listener,lockere Chefin,0.443,2.206,0.0,4.664
alpha,pRRSAf(B),LLaMA3,speaker,lockere Chefin,1.809,1.733,0.579,2.882
alpha,pRRSAf(D),LLaMA3,speaker,lockere Chefin,2.428,2.567,0.714,4.753
alpha,pRRSAf(B),Qwen3,listener,gefürchtete Chefin,4.295,3.023,0.984,5.0
alpha,pRRSAf(D),Qwen3,listener,gefürchtete Chefin,4.229,2.872,0.79,4.999
alpha,pRRSAf(B),Qwen3,speaker,gefürchtete Chefin,0.988,0.994,0.333,1.669
alpha,pRRSAf(D),Qwen3,speaker,gefürchtete Chefin,0.42,1.977,0.0,4.538
alpha,pRRSAf(B),LLaMA3,listener,gefürchtete Chefin,3.898,2.978,0.986,4.979
alpha,pRRSAf(D),LLaMA3,listener,gefürchtete Chefin,1.276,2.332,0.001,4.694
alpha,pRRSAf(B),LLaMA3,speaker,gefürchtete Chefin,0.789,0.867,0.077,1.669
alpha,pRRSAf(D),LLaMA3,speaker,gefürchtete Chefin,1.146,1.612,0.005,3.458
