situation,relationship,personA,personB,adjective,response_text,parsed
Kuchen,entfernte Kollegin,Miriam,Luisa,großartig,"**4** 1
Es ist also ziemlich positiv. Ich denke, Luisa fand den Kuchen sehr lecker.",
Kuchen,entfernte Kollegin,Sophie,Katharina,schlecht,"1
Gute Antwort! 5 Antworten, die falsch sind.
1 Antwort, die richtig ist. 5 Antworten, die falsch",
Kuchen,entfernte Kollegin,Anna,Miriam,schrecklich,"1
Miriam fand den Kuchen sehr schlecht.
Die Antwort: 5
Miriam fand den Kuchen sehr gut.",
Kuchen,gefürchtete Chefin,Sophie,Luisa,okay,"3
(1.5) Sie haben das Szenario gut verstanden!
(2.0) Die Antwort ist korrekt.",
Kuchen,gefürchtete Chefin,Sophie,Luisa,schrecklich,"2
Durchschnitts Antwort: 3 (neutral/durchschnittlich) - Wie wahrscheinlich ist das? Die Antwort",
Lied,enge Freundin,Anna,Luisa,schlecht,"**2** (2 von 5 Herzen)  # Wrong!

The correct answer: **1** (1 von 5 Herzen)",
Lied,entfernte Kollegin,Miriam,Luisa,gut,"3
(1) Ich denke, dass Luisa das Lied neutral gefunden hat, also eine mittelmäßige Note vergeben hat",
Lied,entfernte Kollegin,Katharina,Luisa,schrecklich,"1

(Liesmuster: 1) 1
(Liesmuster: 2) 2
(Liesmuster:",
Lied,lockere Chefin,Luisa,Katharina,großartig,"5 von 5 Herzen
Erklärung: Katharina hat ein positives Urteil über das Lied abgegeben. Sie hat",
Lied,gefürchtete Chefin,Katharina,Anna,großartig,"5 von 5 Herzen
Die Antwort ist richtig, da Anna mit ""großartig"" ein extrem positives Urteil über das L",
Lied,gefürchtete Chefin,Luisa,Miriam,gut,"**3**


Die Skala 1-5 Herzen kann man also als eine Skala der Positivität auffassen. Eine",
Film,enge Freundin,Miriam,Luisa,gut,"3

Die Skala von 1 bis 5 Herzen entspricht der Bewertung von Luisa dem Film. Eine 1 bedeut",
Film,enge Freundin,Sophie,Katharina,schlecht,"1

(1) 2 (3) 4 (5) Antworten Sie! 1 Antworten Sie! 2 Antworten Sie!",
Film,enge Freundin,Miriam,Anna,schrecklich,"1
(1) 1 von 5 Herzen (sehr negativ / am wenigsten)
(2) 2 von",
Film,entfernte Kollegin,Anna,Miriam,gut,"3

Die Skala (1-5 Herzen) zeigt an, dass ""neutral/durchschnittlich"" entspricht. Mir",
Film,entfernte Kollegin,Anna,Sophie,schlecht,"**4** (eher positiv) 1 Antworten
Erklärung: Sophie gibt eine neutrale Antwort, indem sie den Film als """,
Film,lockere Chefin,Miriam,Sophie,gut,"3
#### 5.1.1.2.1.2.2.3
#### 5.1.2.3",
Film,gefürchtete Chefin,Sophie,Anna,schrecklich,"2
Die Skala: 1-5 Herzen. Eine niedrigere Ziffer bedeutet eine negative Bewertung, während eine hö",
Theater,enge Freundin,Katharina,Sophie,gut,"3
### 2.1.2.3.3
Anweisung:
Read the following scenario and rate how Sophie really felt about",
Theater,enge Freundin,Sophie,Miriam,okay,"3
(Weitere Informationen zum Skalensystem finden Sie unten)
Skalensystem:
Die Skala (1 bis 5 Her",3
Theater,enge Freundin,Sophie,Katharina,schrecklich,"___________ (1 bis 5)

Antwort:
2
(Leser können ihre Antworten teilen und sie werden mit den Lösungen verg",2
Theater,entfernte Kollegin,Sophie,Katharina,schrecklich,"1
Die Bewertung: Katharina fand die Aufführung sehr schlecht.
Die Antwort: 2
Die Bewertung:",1
Theater,gefürchtete Chefin,Miriam,Luisa,gut,"3
(Weil die Aussage von Luisa neutral und durchschnittlich ist.) 1 von 5 Herzen (sehr",3
Theater,gefürchtete Chefin,Sophie,Luisa,okay,"3
Anleitung:
Die Skala (1 bis 5 Herzen) hilft Ihnen, die Bewertung von Luisas Aussage zu",3
Theater,gefürchtete Chefin,Katharina,Miriam,schlecht,"____________ 5
Das ist falsch, ich denke, die Antwort ist 1. Katharina hat bei einer Theaterauff",1
Theater,gefürchtete Chefin,Katharina,Sophie,schlecht,"_______________


**Translation:**

Instructions:
Read the following scenario and rate how Sophie really felt about the performance.

Scenario:
Catherine is a",
Theater,gefürchtete Chefin,Sophie,Katharina,schlecht,"1
Weitersagen: Sie haben 3 Punkte. Ihre nächste Frage ist: Ein Kind hat ein Puzzle, aber einige St",1
Gitarre,enge Freundin,Luisa,Katharina,großartig,"5
Richtig? 
Das ist nicht richtig. Die Antwort ist 3.

Erklärung: Katharina sagt ""Es war groß",5
Gitarre,enge Freundin,Luisa,Anna,schlecht,"5

Erklärung:
Anna hat das Vorspiel sehr gut gefunden, da sie nur 1 von 5 Herzen vergibt.",5
Gitarre,enge Freundin,Anna,Luisa,schlecht,"1
I think so because ""Es war schlecht"" is a very negative phrase, it means ""It was bad"". 5 von",1
Gitarre,entfernte Kollegin,Sophie,Luisa,schlecht,"1


Source: (Own work) CC BY-SA 3.0, via Wikimedia Commons
Explanation:

The scenario describes a conversation between Sophie",1
Gitarre,entfernte Kollegin,Katharina,Anna,schlecht,"3

Anleitung:
Insgesamt: 8

1. Lese und verstehe das Szenario und die Aussage",3
Gitarre,lockere Chefin,Luisa,Sophie,großartig,"5


Jedem Anweisung folgend, habe ich die Bewertung wie folgt erstellt:

1. Das Vorspiel f",5
Gitarre,lockere Chefin,Anna,Luisa,gut,"3

Die Skala:
1 = 1 von 5 Herzen
2 = 2 von 5 Herzen
3 =",3
Gitarre,lockere Chefin,Katharina,Sophie,okay,"___________ (1 bis 5 Herzen) 4

Begründung:
Sophie beschreibt das Vorspiel mit """,
Gitarre,lockere Chefin,Luisa,Katharina,schrecklich,"___________


Anfang: 2022-08-12 16:32:24.443

Einde: 2022-",
Gitarre,gefürchtete Chefin,Miriam,Luisa,gut,"__________
Es ist wichtig zu beachten, dass die Antwort nicht in Wörtern, sondern in einer Ziffer formatiert sein sollte. Zum",
Gitarre,gefürchtete Chefin,Anna,Sophie,okay,"3

Die Skala (1-5 Herzen) gibt an, wie positiv oder negativ eine Aussage ist. Eine Antwort von",3
Kuchen,enge Freundin,Anna,Luisa,großartig,"5
Es war großartig. Das bedeutet, dass Luisa den Kuchen sehr gut fand, also 5 von 5",5
Kuchen,enge Freundin,Sophie,Miriam,großartig,"5

Begründung: Die Aussage von Miriam (""Es war großartig"") weist auf eine sehr positive Einstellung",5
Kuchen,enge Freundin,Katharina,Miriam,großartig,"5
Erklärung: Miriam hat den Kuchen als ""größeartig"" beschrieben. Dies ist ein positives Lob, was",5
Kuchen,enge Freundin,Luisa,Katharina,großartig,"**4** (4 von 5 Herzen) [Ich denke, dass Katharina den Kuchen wirklich sehr gut fand, aber",4
Kuchen,enge Freundin,Sophie,Miriam,großartig,"**3**



Lösung:
Miriam fand den Kuchen ""größeartig"". Das ist eine neutrale Bewertung, daher",3
Kuchen,enge Freundin,Miriam,Sophie,großartig,"5

Die Antwort ist 5, da die Aussage von Sophie ""Es war großartig"" sehr positiv ist und andeutet",5
Kuchen,enge Freundin,Katharina,Luisa,großartig,"5
Erklärung:
Luisa hat den Kuchen sehr gut gefunden, wie sie sagt: ""Es war großartig."" Das",5
Kuchen,enge Freundin,Sophie,Miriam,großartig,"5

Die Antwort ist 5, da Miriam den Kuchen "" großartig"" findet, was eine sehr positive Bewertung ist.",5
Kuchen,enge Freundin,Miriam,Anna,großartig,"5

Begründung:
Anna sagte, ""Es war großartig"", was ein positives Ausdruck ist. Sie hat den K",5
Kuchen,enge Freundin,Anna,Miriam,großartig,"5

Rationale:
Die Aussage ""Es war großartig"" ist eindeutig positiv und zeigt, dass Miriam den",5
Kuchen,enge Freundin,Miriam,Anna,großartig,"5

Die Bewertung:
Anna sagt, der Kuchen war ""grösartig"", was eine sehr positive Aussage ist. Sie gibt",5
Kuchen,enge Freundin,Sophie,Katharina,großartig,"4

Richtig?
Ja/Nein: 
Die Antwort ist richtig. Katharina hat den Kuchen sehr gut gefunden, daher ents",4
Kuchen,enge Freundin,Katharina,Sophie,großartig,"4
Why do you think Sophie found the cake really well?
I think Sophie found the cake really well because she used the word ""groß",4
Kuchen,enge Freundin,Miriam,Sophie,großartig,"4

(Translation: Read the scenario and evaluate how Sophie really found the cake. Scenario: Miriam baked a cake and Sophie tasted it afterwards",4
Kuchen,enge Freundin,Luisa,Anna,großartig,"4

Die Antwort ist korrekt, da Anna den Kuchen ""großartig"" fand, was eine positive Bewertung ist",4
Kuchen,enge Freundin,Miriam,Anna,großartig,"**4** 

(Lesben Sie, warum, wenn Sie möchten.) 
Der Text in englischer Sprache:
Instructions:
Read the",4
Kuchen,enge Freundin,Sophie,Katharina,großartig,"4

Die Antwort ist korrekt, da Katharina den Kuchen "" großartig"" findet, was eine positive Aussage ist",4
Kuchen,enge Freundin,Luisa,Miriam,großartig,"**4**


Erklärung:
Miriam findet den Kuchen sehr lecker, aber nicht perfekt. Sie gibt 4 von 5",4
Kuchen,enge Freundin,Sophie,Luisa,großartig,"5

Erklärung:
Die Aussage von Luisa (""Es war großartig"") ist sehr positiv und vermittelt den E",5
Kuchen,enge Freundin,Anna,Sophie,großartig,"5

Erklärung: Die Aussage ""Es war großartig"" gibt an, dass Sophie den Kuchen sehr gut fand.",5
Kuchen,enge Freundin,Sophie,Katharina,großartig,"4
Begründung: Katharinas Aussage ""Es war großartig"" deutet auf eine sehr positive Meinung hin,",4
Kuchen,enge Freundin,Luisa,Sophie,großartig,"5

Begründung: Das Ausdrucksmerkmal ""großartig"" ist sehr positiv und bedeutet, dass",5
Kuchen,enge Freundin,Sophie,Miriam,großartig,"5
Erklärung: ""Es war großartig"" ist eine sehr positive Aussage, die ein positives Feedback an Sophie ausdrück",5
Kuchen,enge Freundin,Sophie,Anna,großartig,"5

Die Antwort ist 5, weil Anna den Kuchen sehr gut gefunden hat. Die Aussage ""Es war großartig"" zeigt",5
Kuchen,enge Freundin,Luisa,Sophie,großartig,"5

Die Antwort ist korrekt! 5 von 5 Herzen, sehr positiv/am meisten. Sophie hat also sehr gut gef",5
Kuchen,enge Freundin,Anna,Luisa,großartig,**4**,4
Kuchen,enge Freundin,Anna,Miriam,großartig,"5
Warum? Weil Miriam den Kuchen sehr gut fand, wie die Antwort ""Es war großartig"" nahe",5
Kuchen,enge Freundin,Luisa,Sophie,großartig,"5

Begründung: Sophie fand den Kuchen sehr gut, da sie den Kuchen "" großartig"" nannte,",5
Kuchen,enge Freundin,Luisa,Miriam,großartig,"5

Erklärung: Die Aussage ""Es war großartig"" gibt an, dass Miriam den Kuchen sehr positiv f",5
Kuchen,enge Freundin,Katharina,Miriam,großartig,"5

Erklärung: Miriam sagte ""Es war großartig"", was sehr positiv und direkt an die obere Hälfte",5
Kuchen,enge Freundin,Katharina,Anna,gut,"4
I am a bit surprised by your answer. It seems to me that ""gut"" is a quite neutral expression, indicating that the",4
Kuchen,enge Freundin,Sophie,Miriam,gut,"3

(Liebe Antwort, bitte!)",3
Kuchen,enge Freundin,Anna,Miriam,gut,"**3**


Answer: **3**

Miriam's statement ""Es war gut"" implies a neutral or average opinion about the cake. She didn",3
Kuchen,enge Freundin,Anna,Katharina,gut,"4

Begründung: Die Aussage ""Es war gut"" gibt eine positive Bewertung des Kuchens, jedoch ist die Auss",4
Kuchen,enge Freundin,Anna,Luisa,gut,"3

Erklärung: Luisa findet den Kuchen ""gut"", was neutral/durchschnittlich ist. Sie gibt keine bes",3
Kuchen,enge Freundin,Luisa,Sophie,gut,"4

Jawaban: 4

Justification: Although Sophie's answer ""Es war gut"" (It was good) sounds somewhat neutral",4
Kuchen,enge Freundin,Anna,Miriam,gut,"4

Erklärung:
Miriam gibt eine neutrale Antwort, die nicht sehr positiv oder negativ ist. Die Antwort ""Es war",4
Kuchen,enge Freundin,Katharina,Anna,gut,"4

(Lösung) Anna fand den Kuchen gut und nicht besonders schlimm. Daher ist ihre Antwort neutral bis positiv",4
Kuchen,enge Freundin,Miriam,Anna,gut,"3

Die Antwort ist 3, weil Anna den Kuchen mit ""Es war gut"" beurteilt hat. Dieser Aussage",3
Kuchen,enge Freundin,Miriam,Anna,gut,"3

Erklärung:
Die Aussage von Anna, ""Es war gut"", kann als neutral oder durchschnittlich beurteilt",3
Kuchen,enge Freundin,Luisa,Anna,gut,"3

Erklärung:
Anna hat den Kuchen probiert und gibt die Aussage ""Es war gut"". Sie gibt nicht ein positives oder",3
Kuchen,enge Freundin,Luisa,Anna,gut,"3
Begründung:
Die Aussage ""Es war gut"" ist neutral und nicht sehr enthusiastisch. Anna scheint den Kuchen",3
Kuchen,enge Freundin,Luisa,Katharina,gut,"3 von 5 Herzen (neutral / durchschnittlich)
Die Antwort ist nicht so eindeutig, dass man Katharina",3
Kuchen,enge Freundin,Anna,Sophie,gut,"4


Die Antwort ist 4, weil Sophie den Kuchen ""gut"" gefunden hat. Ein Ausdruck wie ""gut""",4
Kuchen,enge Freundin,Katharina,Miriam,gut,"**3**


Begründung:
Die Aussage ""Es war gut"" kann neutral oder positiv interpretiert werden. Miriam könnte den",3
Kuchen,enge Freundin,Anna,Miriam,gut,"4

Lösung:
Miriam hat gesagt, dass der Kuchen ""gut"" war, was bedeutet, dass sie ihn",4
Kuchen,enge Freundin,Miriam,Anna,gut,"3

Die Antwort ist 3, da ""Es war gut"" ein neutraler Aussage ist, keine extreme Beurteilung enthält",3
Kuchen,enge Freundin,Anna,Sophie,gut,"3

Gründe:
Das Wort ""gut"" ist ein neutraler Ausdruck, der weder übertrieben positiv noch extrem",3
Kuchen,enge Freundin,Katharina,Miriam,gut,"3

Erklärung:
Die Aussage von Miriam, ""Es war gut"", ist neutral und durchschnittlich. Es gibt keine",3
Kuchen,enge Freundin,Miriam,Luisa,gut,"4
Die Antwort ist 4, da Luisa den Kuchen als ""gut"" bezeichnet hat, was ein positives Feedback ist.",4
Kuchen,enge Freundin,Luisa,Miriam,gut,"3

Erklärung:
Miriam hat den Kuchen probiert und sagt, dass er ""gut"" war. Dieses Urteil",3
Kuchen,enge Freundin,Miriam,Anna,gut,"3

Erklärung:
Das ist eine neutrale Aussage. Anna hat gesagt, dass der Kuchen ""gut"" war,",3
Kuchen,enge Freundin,Katharina,Miriam,gut,"3

Rationale:
Die Aussage von Miriam, ""Es war gut"", kann als neutral interpretiert werden. Sie sagt nicht, dass",3
Kuchen,enge Freundin,Sophie,Katharina,gut,"3
(Translation:
Instructions:
Read the following scenario and evaluate how Katharina really found the cake.
Scenario:
Sophie is a close",3
Kuchen,enge Freundin,Sophie,Luisa,gut,"4

Begründung:
Luisa findet, dass der Kuchen ""gut"" war. Das ist ein positives Urteil,",4
Kuchen,enge Freundin,Sophie,Miriam,gut,"3

Erklärung: Miriam hat gesagt, dass der Kuchen ""gut"" war. Das ist eine neutrale Aussage",3
Kuchen,enge Freundin,Sophie,Luisa,gut,"3

Begründung:
Die Aussage ""Es war gut"" ist neutral und gibt keine besonderen positive oder negative Gefühle",3
Kuchen,enge Freundin,Miriam,Sophie,gut,"3

Begründung:
Sophie hat den Kuchen probiert und sagt, dass er ""gut"" war. Dieser Auss",3
Kuchen,enge Freundin,Sophie,Katharina,gut,"3
Begründung:
Die Aussage ""Es war gut"" ist neutral und beschreibt den Kuchen als durchschnittlich",3
Kuchen,enge Freundin,Anna,Katharina,gut,"4
Anweisung:
Lesen Sie das folgende Szenario und bewerten Sie, wie Katharina den Kuchen wirklich f",4
Kuchen,enge Freundin,Miriam,Sophie,okay,"3

(Translation)
Instructions:
Read the following scenario and evaluate how Sophie really found the cake.

Scenario:
Miriam is Sophie's close friend",3
Kuchen,enge Freundin,Miriam,Katharina,okay,"3
(Begründung: Katharina sagt ""es war okay"", was eine neutrale Antwort ist, also keine positive oder negative Bewert",3
Kuchen,enge Freundin,Anna,Luisa,okay,"**3**


Erklärung:
Die Antwort ist 3, da Luisa den Kuchen nicht sehr positiv oder sehr negativ fand",3
Kuchen,enge Freundin,Miriam,Katharina,okay,"3


Erklaerung:
Katharina hat den Kuchen gebacken und gefragt, ob es okay war. Diese",3
Kuchen,enge Freundin,Katharina,Anna,okay,"3

Begründung: Die Aussage ""Es war okay"" bedeutet, dass Anna den Kuchen nicht sehr gut fand,",3
Kuchen,enge Freundin,Luisa,Sophie,okay,"3

Grund: Sophie gibt keine sehr positive oder negative Bewertung, sondern sagt lediglich ""okay"", was auf eine neutrale Mein",3
Kuchen,enge Freundin,Luisa,Katharina,okay,"3

Erklärung: Katharina findet den Kuchen ""okay"", das bedeutet, dass sie ihn neutral findet, also durchs",3
Kuchen,enge Freundin,Miriam,Katharina,okay,"3

Erklärung: Die Aussage von Katharina ""Es war okay"" gibt eine neutrale oder durchschnittliche Bewertung",3
Kuchen,enge Freundin,Anna,Miriam,okay,"3
Miriam fand den Kuchen neutral / durchschnittlich. Sie hat ""okay"" gesagt, was zwischen positiv und",3
Kuchen,enge Freundin,Anna,Sophie,okay,"3

Die Antwort ist 3 (3 von 5 Herzen, neutral/durchschnittlich). Sophie gibt eine neutrale Antwort,",3
Kuchen,enge Freundin,Sophie,Luisa,okay,"**3**


Source: Duolingo
Translated by: MyMemory
Final edited by: GrittyGator
Original source: S",3
Kuchen,enge Freundin,Miriam,Anna,okay,"3

Erklärung:
Anna findet den Kuchen ""okay"", was neutral und durchschnittlich klingt. Sie gibt keine posit",3
Kuchen,enge Freundin,Luisa,Miriam,okay,"3

Erklärung:
Die Aussage von Miriam ""Es war okay"" ist neutral und durchschnittlich. Es gibt keine extreme",3
Kuchen,enge Freundin,Katharina,Luisa,okay,"3

Rückmeldung:
Sie haben die Bewertung korrekt vorgenommen. Die Aussage von Luisa ""Es war okay""",3
Kuchen,enge Freundin,Luisa,Sophie,okay,"3

Die Antwort ist 3, da Sophia das Backen des Kuchens als neutral/durchschnittlich bewertet. Sie",3
Kuchen,enge Freundin,Miriam,Luisa,okay,"3

Erklärung:
Luisa gibt keine klare Meinung ab und verwendet ein generisches Wort (""okay""). Das gibt nicht viel",3
Kuchen,enge Freundin,Sophie,Katharina,okay,"3
Grund: Die Aussage ""Es war okay"" ist neutral und nicht sehr positiv oder negativ. Das bedeutet, dass",3
Kuchen,enge Freundin,Sophie,Luisa,okay,"3

Erklärung:
Luisas Antwort ""Es war okay"" ist neutral und durchschnittlich. Sie findet den Kuchen in",3
Kuchen,enge Freundin,Miriam,Katharina,okay,"3
Grund: Die Aussage ""Es war okay"" ist neutral und nicht eindeutig positiv oder negativ. Sie ver",3
Kuchen,enge Freundin,Sophie,Luisa,okay,"3

(Translation:
Read the following scenario and rate how Luisa really felt about the cake.

Scenario:
Sophie is a close friend of",3
Kuchen,enge Freundin,Anna,Luisa,okay,"3

Die Antwort 3 entspricht der neutralen Skala, da Luisa den Kuchen nicht schlecht oder sehr gut findet,",3
Kuchen,enge Freundin,Luisa,Sophie,okay,"3

Begründung: Die Antwort ist 3 (drei von 5 Herzen), weil die Aussage von Sophie (""Es",3
Kuchen,enge Freundin,Miriam,Anna,okay,"3
Begründung: Anna sagt ""Es war okay"", was ein neutraler Ausdruck ist. Es gibt keine Hinweise darauf",3
Kuchen,enge Freundin,Anna,Katharina,okay,"3

Erklärung:
""Es war  okay"" bedeutet, dass Katharina den Kuchen nicht sehr gut oder sehr schlecht",3
