situation,relationship,personA,personB,state,response_text,parsed
Kuchen,enge Freundin,Miriam,Anna,5,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Katharina,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Miriam,5,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Luisa,5,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Luisa,5,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Miriam,5,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Luisa,5,Es war großartig.,großartig
Kuchen,enge Freundin,Katharina,Anna,5,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Anna,5,Es war großartig.,großartig
Kuchen,enge Freundin,Katharina,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Katharina,5,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Katharina,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Sophie,5,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Luisa,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Anna,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Luisa,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Katharina,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Luisa,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Sophie,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Sophie,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Sophie,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Anna,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Sophie,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Luisa,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Katharina,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Luisa,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Katharina,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,entfernte Kollegin,Sophie,Luisa,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Katharina,Miriam,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Miriam,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Katharina,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Katharina,Miriam,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Luisa,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Anna,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Luisa,Sophie,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Sophie,Miriam,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Katharina,Sophie,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Sophie,Katharina,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Sophie,Miriam,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Anna,Sophie,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Luisa,Sophie,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Sophie,Miriam,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Miriam,Katharina,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Sophie,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Sophie,Miriam,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Luisa,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Luisa,Katharina,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Anna,Miriam,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Anna,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Sophie,Anna,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Katharina,Sophie,2,Es war schlecht.,schlecht
Kuchen,entfernte Kollegin,Miriam,Sophie,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Luisa,2,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Luisa,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Sophie,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Katharina,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Katharina,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Luisa,Katharina,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Anna,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Anna,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Luisa,Sophie,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Sophie,Katharina,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Luisa,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Katharina,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Anna,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Sophie,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Katharina,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Sophie,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Anna,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Luisa,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Luisa,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Sophie,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Anna,Sophie,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Miriam,Katharina,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Katharina,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Luisa,Miriam,3,Es war okay.,okay
Kuchen,entfernte Kollegin,Sophie,Miriam,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Sophie,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Sophie,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Miriam,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Luisa,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Sophie,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Luisa,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Luisa,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Sophie,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Katharina,4,Es war gut.,gut
Kuchen,entfernte Kollegin,Luisa,Anna,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Sophie,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Miriam,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Katharina,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Miriam,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Katharina,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Luisa,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Sophie,Katharina,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Katharina,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Sophie,Anna,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Katharina,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Sophie,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Anna,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Anna,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Sophie,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Miriam,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Sophie,Katharina,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Katharina,4,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Sophie,4,Es war gut.,gut
Kuchen,entfernte Kollegin,Sophie,Katharina,4,Es war gut.,gut
Kuchen,entfernte Kollegin,Miriam,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Luisa,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Sophie,Miriam,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Miriam,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Miriam,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Sophie,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Luisa,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Sophie,Luisa,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Luisa,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Sophie,Miriam,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Sophie,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Sophie,Anna,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Anna,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Miriam,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Anna,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Sophie,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Miriam,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Miriam,Luisa,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Luisa,Katharina,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Miriam,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Anna,Sophie,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Sophie,5,Es war großartig.,großartig
Kuchen,entfernte Kollegin,Katharina,Anna,5,Es war großartig.,großartig
Kuchen,lockere Chefin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Sophie,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Luisa,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Sophie,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Luisa,Anna,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Katharina,Anna,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Luisa,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Luisa,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Sophie,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Sophie,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Miriam,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,lockere Chefin,Katharina,Miriam,2,Es war okay.,okay
Kuchen,lockere Chefin,Anna,Sophie,2,Es war okay.,okay
Kuchen,lockere Chefin,Miriam,Katharina,2,Es war okay.,okay
Kuchen,lockere Chefin,Luisa,Miriam,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Miriam,Luisa,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Katharina,Miriam,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Miriam,Sophie,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Anna,Miriam,2,Es war okay.,okay
Kuchen,lockere Chefin,Katharina,Sophie,2,Es war okay.,okay
Kuchen,lockere Chefin,Anna,Katharina,2,Es war okay.,okay
Kuchen,lockere Chefin,Miriam,Sophie,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Miriam,Luisa,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Anna,Katharina,2,Es war okay.,okay
Kuchen,lockere Chefin,Luisa,Anna,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Anna,Luisa,2,Es war okay.,okay
Kuchen,lockere Chefin,Miriam,Katharina,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Sophie,Anna,2,Es war okay.,okay
Kuchen,lockere Chefin,Katharina,Luisa,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Anna,Miriam,2,Es war okay.,okay
Kuchen,lockere Chefin,Anna,Miriam,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Miriam,Sophie,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Luisa,Miriam,2,Es war okay.,okay
Kuchen,lockere Chefin,Luisa,Sophie,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Anna,Sophie,2,Es war okay.,okay
Kuchen,lockere Chefin,Miriam,Katharina,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Sophie,Luisa,2,Es war schlecht,schlecht
Kuchen,lockere Chefin,Sophie,Miriam,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Miriam,Katharina,2,Es war schlecht.,schlecht
Kuchen,lockere Chefin,Anna,Miriam,2,Es war okay.,okay
Kuchen,lockere Chefin,Luisa,Anna,2,Es war schlecht.,schlecht
