situation,relationship,personA,personB,response_text,state
Kuchen,Entfernte Kollegin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Entfernte Kollegin,Katharina,Luisa,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,2
Kuchen,Entfernte Kollegin,Katharina,Sophie,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",2
Kuchen,Entfernte Kollegin,Katharina,Sophie,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",2
Kuchen,Entfernte Kollegin,Miriam,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Entfernte Kollegin,Katharina,Miriam,Okay. Miriam's reaction of giving 2 out of 5 hearts indicates a negative evaluation. The adjektiv should reflect this. The,2
Kuchen,Entfernte Kollegin,Sophie,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Entfernte Kollegin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,3
Kuchen,Entfernte Kollegin,Miriam,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Entfernte Kollegin,Sophie,Miriam,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",3
Kuchen,Entfernte Kollegin,Miriam,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Entfernte Kollegin,Anna,Katharina,"Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Entfernte Kollegin,Luisa,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Entfernte Kollegin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Entfernte Kollegin,Katharina,Sophie,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,3
Kuchen,Entfernte Kollegin,Luisa,Miriam,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",3
Kuchen,Entfernte Kollegin,Luisa,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Entfernte Kollegin,Miriam,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Entfernte Kollegin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Entfernte Kollegin,Miriam,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Entfernte Kollegin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,4
Kuchen,Entfernte Kollegin,Anna,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Entfernte Kollegin,Miriam,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Entfernte Kollegin,Anna,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Entfernte Kollegin,Sophie,Anna,Okay. Sophie ist Annas Entfernte Kollegin. Sophie hat einen Kuchen gebacken und Anna probiert den Kuchen.,4
Kuchen,Entfernte Kollegin,Sophie,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Entfernte Kollegin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,4
Kuchen,Entfernte Kollegin,Miriam,Sophie,"Okay. Keine Erklärung. Nur das Adjektiv.
Okay. Keine Erklärung. Nur das Adjektiv.
Okay",5
Kuchen,Entfernte Kollegin,Sophie,Anna,"Okay. Sophie fragt nach der Meinung, Anna gibt eine Bewertung von 5 von 5 Herzen, was sehr positiv ist",5
Kuchen,Entfernte Kollegin,Luisa,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,5
Kuchen,Entfernte Kollegin,Luisa,Miriam,"Okay. Miriam sagt: ""Es war okay."" Die Bewertung von 5 von 5 Herzen deutet auf eine positive, aber",5
Kuchen,Entfernte Kollegin,Miriam,Luisa,"großartig

Okay, let me try to work through this. So the scenario is about Miriam and Luisa. Miriam is",5
Kuchen,Entfernte Kollegin,Katharina,Miriam,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,5
Kuchen,Entfernte Kollegin,Luisa,Miriam,"Okay. Miriam sagt: ""Es war okay."" Die Bewertung von 5 von 5 Herzen deutet auf eine positive, aber",5
Kuchen,Entfernte Kollegin,Anna,Luisa,"Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Entfernte Kollegin,Luisa,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Entfernte Kollegin,Luisa,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,5
Kuchen,Lockere Chefin,Luisa,Anna,"schrecklich

Anna gibt eine Bewertung von 1 von 5 Herzen, was bedeutet, dass sie den Kuchen sehr schle",1
Kuchen,Lockere Chefin,Katharina,Sophie,"schrecklich

Die Bewertung von Sophie ist 1 von 5 Herzen, was eindeutig eine sehr negative Bewertung ist",1
Kuchen,Lockere Chefin,Luisa,Sophie,"schrecklich

Die Bewertung von Sophie ist sehr niedrig (1 von 5 Herzen), was auf eine sehr schlechte Erfahrung",1
Kuchen,Lockere Chefin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,1
Kuchen,Lockere Chefin,Miriam,Sophie,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",1
Kuchen,Lockere Chefin,Anna,Katharina,"schrecklich

Die Bewertung von Katharina mit 1 von 5 Herzen deutet auf eine sehr negative Meinung hin.",1
Kuchen,Lockere Chefin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,1
Kuchen,Lockere Chefin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,1
Kuchen,Lockere Chefin,Sophie,Katharina,"schrecklich

Okay, let me try to work through this. So the scenario is about Sophie and Katharina. Sophie is Kathar",1
Kuchen,Lockere Chefin,Sophie,Katharina,"schrecklich

Okay, let me try to work through this. So the scenario is about Sophie and Katharina. Sophie is Kathar",1
Kuchen,Lockere Chefin,Miriam,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Katharina,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Anna,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Miriam,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Sophie,Miriam,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",2
Kuchen,Lockere Chefin,Miriam,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Katharina,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Luisa,Katharina,"schrecklich

Katharina fand den Kuchen mit 2 von 5 Herzen, was deutlich unter dem Durchs",2
Kuchen,Lockere Chefin,Miriam,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Lockere Chefin,Katharina,Luisa,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,3
Kuchen,Lockere Chefin,Anna,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Lockere Chefin,Miriam,Sophie,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",3
Kuchen,Lockere Chefin,Anna,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Lockere Chefin,Miriam,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Lockere Chefin,Katharina,Luisa,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,3
Kuchen,Lockere Chefin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,3
Kuchen,Lockere Chefin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Lockere Chefin,Luisa,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,3
Kuchen,Lockere Chefin,Luisa,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Lockere Chefin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Lockere Chefin,Luisa,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Lockere Chefin,Sophie,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Lockere Chefin,Miriam,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Lockere Chefin,Miriam,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Lockere Chefin,Katharina,Miriam,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,4
Kuchen,Lockere Chefin,Katharina,Miriam,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,4
Kuchen,Lockere Chefin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Lockere Chefin,Anna,Miriam,"Okay

Miriam sagt: \""Es war "" - Der Kuchen wurde mit 4 von 5 Herzen bewertet, was eine",4
Kuchen,Lockere Chefin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,4
Kuchen,Lockere Chefin,Luisa,Sophie,"Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay.",5
Kuchen,Lockere Chefin,Miriam,Sophie,"Okay. Keine Erklärung. Nur das Adjektiv.
Okay. Keine Erklärung. Nur das Adjektiv.
Okay",5
Kuchen,Lockere Chefin,Miriam,Luisa,"großartig

Luisa sagt: \""Es war "" großartig

Luisa sagt: \""Es war "" großart",5
Kuchen,Lockere Chefin,Anna,Miriam,"Okay. Miriam sagt: ""Es war okay.""  
**Antwort:** okay.  
**Begründung:** Miriam bewert",5
Kuchen,Lockere Chefin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Lockere Chefin,Miriam,Anna,"Okay. Keine Erklärung. Nur das Adjektiv.
Okay. Keine Erklärung. Nur das Adjektiv.
Okay",5
Kuchen,Lockere Chefin,Katharina,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,5
Kuchen,Lockere Chefin,Anna,Luisa,"Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Lockere Chefin,Luisa,Sophie,"Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay. 

Okay.",5
Kuchen,Lockere Chefin,Miriam,Luisa,"großartig

Luisa sagt: \""Es war "" großartig

Luisa sagt: \""Es war "" großart",5
Kuchen,Gefürchtete Chefin,Anna,Luisa,"schrecklich

Luisa fand den Kuchen mit 1 von 5 Herzen, was einen sehr niedrigen Wert dar",1
Kuchen,Gefürchtete Chefin,Miriam,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Gefürchtete Chefin,Miriam,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Gefürchtete Chefin,Katharina,Anna,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",1
Kuchen,Gefürchtete Chefin,Katharina,Anna,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",1
Kuchen,Gefürchtete Chefin,Sophie,Luisa,"schrecklich

Luisa fand den Kuchen mit 1 von 5 Herzen, was bedeutet, dass sie den K",1
Kuchen,Gefürchtete Chefin,Sophie,Anna,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",1
Kuchen,Gefürchtete Chefin,Katharina,Anna,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",1
Kuchen,Gefürchtete Chefin,Miriam,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Gefürchtete Chefin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Gefürchtete Chefin,Anna,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Gefürchtete Chefin,Miriam,Katharina,"schrecklich

Katharina fand den Kuchen mit 2 von 5 Herzen, was deutlich schlecht bewert",2
Kuchen,Gefürchtete Chefin,Sophie,Anna,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",2
